state,county_fips,county_name,year,median_household_income,income_source,acs_data_status
FL,12019,Clay County,2022,82242,ACS 2022 5-year B19013,available
FL,12019,Clay County,2023,86094,ACS 2023 5-year B19013,available
FL,12019,Clay County,2024,87820,ACS 2024 5-year B19013,available
FL,12021,Collier County,2015,57452,ACS 2015 5-year B19013,available
FL,12021,Collier County,2016,59783,ACS 2016 5-year B19013,available
FL,12021,Collier County,2017,62407,ACS 2017 5-year B19013,available
FL,12021,Collier County,2018,65675,ACS 2018 5-year B19013,available
FL,12021,Collier County,2019,69653,ACS 2019 5-year B19013,available
FL,12021,Collier County,2020,70217,ACS 2020 5-year B19013,available
FL,12021,Collier County,2021,75543,ACS 2021 5-year B19013,available
FL,12021,Collier County,2022,82011,ACS 2022 5-year B19013,available
FL,12021,Collier County,2023,86173,ACS 2023 5-year B19013,available
FL,12021,Collier County,2024,90045,ACS 2024 5-year B19013,available
FL,12023,Columbia County,2015,41926,ACS 2015 5-year B19013,available
FL,12023,Columbia County,2016,42848,ACS 2016 5-year B19013,available
FL,12023,Columbia County,2017,43504,ACS 2017 5-year B19013,available
FL,12023,Columbia County,2018,44491,ACS 2018 5-year B19013,available
FL,12023,Columbia County,2019,46494,ACS 2019 5-year B19013,available
FL,12023,Columbia County,2020,44818,ACS 2020 5-year B19013,available
FL,12023,Columbia County,2021,47750,ACS 2021 5-year B19013,available
FL,12023,Columbia County,2022,53501,ACS 2022 5-year B19013,available
FL,12023,Columbia County,2023,55070,ACS 2023 5-year B19013,available
FL,12023,Columbia County,2024,59205,ACS 2024 5-year B19013,available
FL,12027,DeSoto County,2015,35165,ACS 2015 5-year B19013,available
FL,12027,DeSoto County,2016,35513,ACS 2016 5-year B19013,available
FL,12027,DeSoto County,2017,35435,ACS 2017 5-year B19013,available
FL,12027,DeSoto County,2018,35057,ACS 2018 5-year B19013,available
FL,12027,DeSoto County,2019,35438,ACS 2019 5-year B19013,available
FL,12027,DeSoto County,2020,36360,ACS 2020 5-year B19013,available
FL,12027,DeSoto County,2021,39945,ACS 2021 5-year B19013,available
FL,12027,DeSoto County,2022,45000,ACS 2022 5-year B19013,available
FL,12027,DeSoto County,2023,50868,ACS 2023 5-year B19013,available
FL,12027,DeSoto County,2024,54417,ACS 2024 5-year B19013,available
FL,12029,Dixie County,2015,36292,ACS 2015 5-year B19013,available
FL,12029,Dixie County,2016,34634,ACS 2016 5-year B19013,available
FL,12029,Dixie County,2017,35910,ACS 2017 5-year B19013,available
FL,12029,Dixie County,2018,38237,ACS 2018 5-year B19013,available
FL,12029,Dixie County,2019,39828,ACS 2019 5-year B19013,available
FL,12029,Dixie County,2020,41674,ACS 2020 5-year B19013,available
FL,12029,Dixie County,2021,44287,ACS 2021 5-year B19013,available
FL,12029,Dixie County,2022,45057,ACS 2022 5-year B19013,available
FL,12029,Dixie County,2023,47655,ACS 2023 5-year B19013,available
FL,12029,Dixie County,2024,50110,ACS 2024 5-year B19013,available
FL,12031,Duval County,2015,47690,ACS 2015 5-year B19013,available
FL,12031,Duval County,2016,49196,ACS 2016 5-year B19013,available
FL,12031,Duval County,2017,51296,ACS 2017 5-year B19013,available
FL,12031,Duval County,2018,53473,ACS 2018 5-year B19013,available
FL,12031,Duval County,2019,55807,ACS 2019 5-year B19013,available
FL,12031,Duval County,2020,56769,ACS 2020 5-year B19013,available
FL,12031,Duval County,2021,59541,ACS 2021 5-year B19013,available
FL,12031,Duval County,2022,65579,ACS 2022 5-year B19013,available
FL,12031,Duval County,2023,68447,ACS 2023 5-year B19013,available
FL,12031,Duval County,2024,71277,ACS 2024 5-year B19013,available
FL,12033,Escambia County,2015,45390,ACS 2015 5-year B19013,available
FL,12033,Escambia County,2016,46117,ACS 2016 5-year B19013,available
FL,12033,Escambia County,2017,47361,ACS 2017 5-year B19013,available
FL,12033,Escambia County,2018,49286,ACS 2018 5-year B19013,available
FL,12033,Escambia County,2019,50915,ACS 2019 5-year B19013,available
FL,12033,Escambia County,2020,53023,ACS 2020 5-year B19013,available
FL,12033,Escambia County,2021,56605,ACS 2021 5-year B19013,available
FL,12033,Escambia County,2022,61642,ACS 2022 5-year B19013,available
FL,12033,Escambia County,2023,65715,ACS 2023 5-year B19013,available
FL,12033,Escambia County,2024,67500,ACS 2024 5-year B19013,available
FL,12035,Flagler County,2015,47866,ACS 2015 5-year B19013,available
FL,12035,Flagler County,2016,48898,ACS 2016 5-year B19013,available
FL,12035,Flagler County,2017,51049,ACS 2017 5-year B19013,available
FL,12035,Flagler County,2018,53872,ACS 2018 5-year B19013,available
FL,12035,Flagler County,2019,54514,ACS 2019 5-year B19013,available
FL,12035,Flagler County,2020,57536,ACS 2020 5-year B19013,available
FL,12035,Flagler County,2021,62305,ACS 2021 5-year B19013,available
FL,12035,Flagler County,2022,69251,ACS 2022 5-year B19013,available
FL,12035,Flagler County,2023,72923,ACS 2023 5-year B19013,available
FL,12035,Flagler County,2024,77363,ACS 2024 5-year B19013,available
FL,12037,Franklin County,2015,40401,ACS 2015 5-year B19013,available
FL,12037,Franklin County,2016,40301,ACS 2016 5-year B19013,available
FL,12037,Franklin County,2017,41267,ACS 2017 5-year B19013,available
FL,12037,Franklin County,2018,42855,ACS 2018 5-year B19013,available
FL,12037,Franklin County,2019,46643,ACS 2019 5-year B19013,available
FL,12037,Franklin County,2020,48814,ACS 2020 5-year B19013,available
FL,12037,Franklin County,2021,52679,ACS 2021 5-year B19013,available
FL,12037,Franklin County,2022,58107,ACS 2022 5-year B19013,available
FL,12037,Franklin County,2023,62734,ACS 2023 5-year B19013,available
FL,12037,Franklin County,2024,64105,ACS 2024 5-year B19013,available
FL,12039,Gadsden County,2015,35567,ACS 2015 5-year B19013,available
FL,12039,Gadsden County,2016,38533,ACS 2016 5-year B19013,available
FL,12039,Gadsden County,2017,39830,ACS 2017 5-year B19013,available
FL,12039,Gadsden County,2018,40922,ACS 2018 5-year B19013,available
FL,12039,Gadsden County,2019,41401,ACS 2019 5-year B19013,available
FL,12039,Gadsden County,2020,41135,ACS 2020 5-year B19013,available
FL,12039,Gadsden County,2021,42661,ACS 2021 5-year B19013,available
FL,12039,Gadsden County,2022,45721,ACS 2022 5-year B19013,available
FL,12039,Gadsden County,2023,46047,ACS 2023 5-year B19013,available
FL,12039,Gadsden County,2024,48801,ACS 2024 5-year B19013,available
FL,12041,Gilchrist County,2015,40623,ACS 2015 5-year B19013,available
FL,12041,Gilchrist County,2016,40881,ACS 2016 5-year B19013,available
FL,12041,Gilchrist County,2017,42934,ACS 2017 5-year B19013,available
FL,12041,Gilchrist County,2018,42357,ACS 2018 5-year B19013,available
FL,12041,Gilchrist County,2019,43640,ACS 2019 5-year B19013,available
FL,12041,Gilchrist County,2020,47381,ACS 2020 5-year B19013,available
FL,12041,Gilchrist County,2021,50983,ACS 2021 5-year B19013,available
FL,12041,Gilchrist County,2022,56823,ACS 2022 5-year B19013,available
FL,12041,Gilchrist County,2023,61070,ACS 2023 5-year B19013,available
FL,12041,Gilchrist County,2024,63523,ACS 2024 5-year B19013,available
FL,12043,Glades County,2015,34877,ACS 2015 5-year B19013,available
FL,12043,Glades County,2016,34143,ACS 2016 5-year B19013,available
FL,12043,Glades County,2017,37385,ACS 2017 5-year B19013,available
FL,12043,Glades County,2018,39879,ACS 2018 5-year B19013,available
FL,12043,Glades County,2019,40977,ACS 2019 5-year B19013,available
FL,12043,Glades County,2020,39709,ACS 2020 5-year B19013,available
FL,12043,Glades County,2021,38088,ACS 2021 5-year B19013,available
FL,12043,Glades County,2022,37221,ACS 2022 5-year B19013,available
FL,12043,Glades County,2023,38905,ACS 2023 5-year B19013,available
FL,12043,Glades County,2024,45870,ACS 2024 5-year B19013,available
FL,12045,Gulf County,2015,41788,ACS 2015 5-year B19013,available
FL,12045,Gulf County,2016,40822,ACS 2016 5-year B19013,available
FL,12045,Gulf County,2017,44647,ACS 2017 5-year B19013,available
FL,12045,Gulf County,2018,44291,ACS 2018 5-year B19013,available
FL,12045,Gulf County,2019,47712,ACS 2019 5-year B19013,available
FL,12045,Gulf County,2020,50640,ACS 2020 5-year B19013,available
FL,12045,Gulf County,2021,53812,ACS 2021 5-year B19013,available
FL,12045,Gulf County,2022,56250,ACS 2022 5-year B19013,available
FL,12045,Gulf County,2023,67361,ACS 2023 5-year B19013,available
FL,12045,Gulf County,2024,61179,ACS 2024 5-year B19013,available
FL,12047,Hamilton County,2015,35048,ACS 2015 5-year B19013,available
FL,12047,Hamilton County,2016,38980,ACS 2016 5-year B19013,available
FL,12047,Hamilton County,2017,36209,ACS 2017 5-year B19013,available
FL,12047,Hamilton County,2018,34583,ACS 2018 5-year B19013,available
FL,12047,Hamilton County,2019,38569,ACS 2019 5-year B19013,available
FL,12047,Hamilton County,2020,38300,ACS 2020 5-year B19013,available
FL,12047,Hamilton County,2021,39346,ACS 2021 5-year B19013,available
FL,12047,Hamilton County,2022,47668,ACS 2022 5-year B19013,available
FL,12047,Hamilton County,2023,47696,ACS 2023 5-year B19013,available
FL,12047,Hamilton County,2024,50144,ACS 2024 5-year B19013,available
FL,12049,Hardee County,2015,35457,ACS 2015 5-year B19013,available
FL,12049,Hardee County,2016,36222,ACS 2016 5-year B19013,available
FL,12049,Hardee County,2017,39063,ACS 2017 5-year B19013,available
FL,12049,Hardee County,2018,37594,ACS 2018 5-year B19013,available
FL,12049,Hardee County,2019,38682,ACS 2019 5-year B19013,available
FL,12049,Hardee County,2020,40165,ACS 2020 5-year B19013,available
FL,12049,Hardee County,2021,41395,ACS 2021 5-year B19013,available
FL,12049,Hardee County,2022,44665,ACS 2022 5-year B19013,available
FL,12049,Hardee County,2023,54231,ACS 2023 5-year B19013,available
FL,12049,Hardee County,2024,60489,ACS 2024 5-year B19013,available
FL,12051,Hendry County,2015,36771,ACS 2015 5-year B19013,available
FL,12051,Hendry County,2016,37552,ACS 2016 5-year B19013,available
FL,12051,Hendry County,2017,37966,ACS 2017 5-year B19013,available
FL,12051,Hendry County,2018,40728,ACS 2018 5-year B19013,available
FL,12051,Hendry County,2019,40820,ACS 2019 5-year B19013,available
FL,12051,Hendry County,2020,36978,ACS 2020 5-year B19013,available
FL,12051,Hendry County,2021,38843,ACS 2021 5-year B19013,available
FL,12051,Hendry County,2022,49259,ACS 2022 5-year B19013,available
FL,12051,Hendry County,2023,53044,ACS 2023 5-year B19013,available
FL,12051,Hendry County,2024,56393,ACS 2024 5-year B19013,available
FL,12053,Hernando County,2015,40945,ACS 2015 5-year B19013,available
FL,12053,Hernando County,2016,42274,ACS 2016 5-year B19013,available
FL,12053,Hernando County,2017,44324,ACS 2017 5-year B19013,available
FL,12053,Hernando County,2018,46030,ACS 2018 5-year B19013,available
FL,12053,Hernando County,2019,48812,ACS 2019 5-year B19013,available
FL,12053,Hernando County,2020,50280,ACS 2020 5-year B19013,available
FL,12053,Hernando County,2021,53301,ACS 2021 5-year B19013,available
FL,12053,Hernando County,2022,59202,ACS 2022 5-year B19013,available
FL,12053,Hernando County,2023,63193,ACS 2023 5-year B19013,available
FL,12053,Hernando County,2024,66058,ACS 2024 5-year B19013,available
FL,12055,Highlands County,2015,35093,ACS 2015 5-year B19013,available
FL,12055,Highlands County,2016,35865,ACS 2016 5-year B19013,available
FL,12055,Highlands County,2017,36374,ACS 2017 5-year B19013,available
FL,12055,Highlands County,2018,37314,ACS 2018 5-year B19013,available
FL,12055,Highlands County,2019,40942,ACS 2019 5-year B19013,available
FL,12055,Highlands County,2020,43708,ACS 2020 5-year B19013,available
FL,12055,Highlands County,2021,46895,ACS 2021 5-year B19013,available
FL,12055,Highlands County,2022,53679,ACS 2022 5-year B19013,available
FL,12055,Highlands County,2023,55581,ACS 2023 5-year B19013,available
FL,12055,Highlands County,2024,54897,ACS 2024 5-year B19013,available
FL,12057,Hillsborough County,2015,50579,ACS 2015 5-year B19013,available
FL,12057,Hillsborough County,2016,51681,ACS 2016 5-year B19013,available
FL,12057,Hillsborough County,2017,53742,ACS 2017 5-year B19013,available
FL,12057,Hillsborough County,2018,56137,ACS 2018 5-year B19013,available
FL,12057,Hillsborough County,2019,58884,ACS 2019 5-year B19013,available
FL,12057,Hillsborough County,2020,60566,ACS 2020 5-year B19013,available
FL,12057,Hillsborough County,2021,64164,ACS 2021 5-year B19013,available
FL,12057,Hillsborough County,2022,70612,ACS 2022 5-year B19013,available
FL,12057,Hillsborough County,2023,75011,ACS 2023 5-year B19013,available
FL,12057,Hillsborough County,2024,79540,ACS 2024 5-year B19013,available
FL,12059,Holmes County,2015,35020,ACS 2015 5-year B19013,available
FL,12059,Holmes County,2016,37437,ACS 2016 5-year B19013,available
FL,12059,Holmes County,2017,37474,ACS 2017 5-year B19013,available
FL,12059,Holmes County,2018,38608,ACS 2018 5-year B19013,available
FL,12059,Holmes County,2019,39102,ACS 2019 5-year B19013,available
FL,12059,Holmes County,2020,39215,ACS 2020 5-year B19013,available
FL,12059,Holmes County,2021,41809,ACS 2021 5-year B19013,available
FL,12059,Holmes County,2022,46063,ACS 2022 5-year B19013,available
FL,12059,Holmes County,2023,48236,ACS 2023 5-year B19013,available
FL,12059,Holmes County,2024,49343,ACS 2024 5-year B19013,available
FL,12061,Indian River County,2015,45798,ACS 2015 5-year B19013,available
FL,12061,Indian River County,2016,47446,ACS 2016 5-year B19013,available
FL,12061,Indian River County,2017,49009,ACS 2017 5-year B19013,available
FL,12061,Indian River County,2018,52336,ACS 2018 5-year B19013,available
FL,12061,Indian River County,2019,54740,ACS 2019 5-year B19013,available
FL,12061,Indian River County,2020,57945,ACS 2020 5-year B19013,available
FL,12061,Indian River County,2021,61594,ACS 2021 5-year B19013,available
FL,12061,Indian River County,2022,67543,ACS 2022 5-year B19013,available
FL,12061,Indian River County,2023,71049,ACS 2023 5-year B19013,available
FL,12061,Indian River County,2024,73491,ACS 2024 5-year B19013,available
FL,12063,Jackson County,2015,35098,ACS 2015 5-year B19013,available
FL,12063,Jackson County,2016,35470,ACS 2016 5-year B19013,available
FL,12063,Jackson County,2017,36944,ACS 2017 5-year B19013,available
FL,12063,Jackson County,2018,39002,ACS 2018 5-year B19013,available
FL,12063,Jackson County,2019,39872,ACS 2019 5-year B19013,available
FL,12063,Jackson County,2020,40754,ACS 2020 5-year B19013,available
FL,12063,Jackson County,2021,43416,ACS 2021 5-year B19013,available
FL,12063,Jackson County,2022,46144,ACS 2022 5-year B19013,available
FL,12063,Jackson County,2023,47327,ACS 2023 5-year B19013,available
FL,12063,Jackson County,2024,49149,ACS 2024 5-year B19013,available
FL,12065,Jefferson County,2015,43355,ACS 2015 5-year B19013,available
FL,12065,Jefferson County,2016,41696,ACS 2016 5-year B19013,available
FL,12065,Jefferson County,2017,47599,ACS 2017 5-year B19013,available
FL,12065,Jefferson County,2018,48173,ACS 2018 5-year B19013,available
FL,12065,Jefferson County,2019,47240,ACS 2019 5-year B19013,available
FL,12065,Jefferson County,2020,49081,ACS 2020 5-year B19013,available
FL,12065,Jefferson County,2021,53080,ACS 2021 5-year B19013,available
FL,12065,Jefferson County,2022,51573,ACS 2022 5-year B19013,available
FL,12065,Jefferson County,2023,56984,ACS 2023 5-year B19013,available
FL,12065,Jefferson County,2024,61212,ACS 2024 5-year B19013,available
FL,12067,Lafayette County,2015,35864,ACS 2015 5-year B19013,available
FL,12067,Lafayette County,2016,36236,ACS 2016 5-year B19013,available
FL,12067,Lafayette County,2017,41512,ACS 2017 5-year B19013,available
FL,12067,Lafayette County,2018,39543,ACS 2018 5-year B19013,available
FL,12067,Lafayette County,2019,50165,ACS 2019 5-year B19013,available
FL,12067,Lafayette County,2020,51734,ACS 2020 5-year B19013,available
FL,12067,Lafayette County,2021,56458,ACS 2021 5-year B19013,available
FL,12067,Lafayette County,2022,57852,ACS 2022 5-year B19013,available
FL,12067,Lafayette County,2023,60692,ACS 2023 5-year B19013,available
FL,12067,Lafayette County,2024,62757,ACS 2024 5-year B19013,available
FL,12069,Lake County,2015,46403,ACS 2015 5-year B19013,available
FL,12069,Lake County,2016,47141,ACS 2016 5-year B19013,available
FL,12069,Lake County,2017,49734,ACS 2017 5-year B19013,available
FL,12069,Lake County,2018,51884,ACS 2018 5-year B19013,available
FL,12069,Lake County,2019,54513,ACS 2019 5-year B19013,available
FL,12069,Lake County,2020,55792,ACS 2020 5-year B19013,available
FL,12069,Lake County,2021,60013,ACS 2021 5-year B19013,available
FL,12069,Lake County,2022,66239,ACS 2022 5-year B19013,available
FL,12069,Lake County,2023,69956,ACS 2023 5-year B19013,available
FL,12069,Lake County,2024,73161,ACS 2024 5-year B19013,available
FL,12071,Lee County,2015,48537,ACS 2015 5-year B19013,available
FL,12071,Lee County,2016,50390,ACS 2016 5-year B19013,available
FL,12071,Lee County,2017,52052,ACS 2017 5-year B19013,available
FL,12071,Lee County,2018,54691,ACS 2018 5-year B19013,available
FL,12071,Lee County,2019,57832,ACS 2019 5-year B19013,available
FL,12071,Lee County,2020,59608,ACS 2020 5-year B19013,available
FL,12071,Lee County,2021,63235,ACS 2021 5-year B19013,available
FL,12071,Lee County,2022,69368,ACS 2022 5-year B19013,available
FL,12071,Lee County,2023,73099,ACS 2023 5-year B19013,available
FL,12071,Lee County,2024,76107,ACS 2024 5-year B19013,available
FL,12073,Leon County,2015,46745,ACS 2015 5-year B19013,available
FL,12073,Leon County,2016,48248,ACS 2016 5-year B19013,available
FL,12073,Leon County,2017,49941,ACS 2017 5-year B19013,available
FL,12073,Leon County,2018,51201,ACS 2018 5-year B19013,available
FL,12073,Leon County,2019,53106,ACS 2019 5-year B19013,available
FL,12073,Leon County,2020,54675,ACS 2020 5-year B19013,available
FL,12073,Leon County,2021,57359,ACS 2021 5-year B19013,available
FL,12073,Leon County,2022,61317,ACS 2022 5-year B19013,available
FL,12073,Leon County,2023,65074,ACS 2023 5-year B19013,available
FL,12073,Leon County,2024,66287,ACS 2024 5-year B19013,available
FL,12075,Levy County,2015,35782,ACS 2015 5-year B19013,available
FL,12075,Levy County,2016,35480,ACS 2016 5-year B19013,available
FL,12075,Levy County,2017,36554,ACS 2017 5-year B19013,available
FL,12075,Levy County,2018,37634,ACS 2018 5-year B19013,available
FL,12075,Levy County,2019,37326,ACS 2019 5-year B19013,available
FL,12075,Levy County,2020,38951,ACS 2020 5-year B19013,available
FL,12075,Levy County,2021,43029,ACS 2021 5-year B19013,available
FL,12075,Levy County,2022,49933,ACS 2022 5-year B19013,available
FL,12075,Levy County,2023,53805,ACS 2023 5-year B19013,available
FL,12075,Levy County,2024,56750,ACS 2024 5-year B19013,available
FL,12077,Liberty County,2015,39406,ACS 2015 5-year B19013,available
FL,12077,Liberty County,2016,37917,ACS 2016 5-year B19013,available
FL,12077,Liberty County,2017,36741,ACS 2017 5-year B19013,available
FL,12077,Liberty County,2018,37363,ACS 2018 5-year B19013,available
FL,12077,Liberty County,2019,38015,ACS 2019 5-year B19013,available
FL,12077,Liberty County,2020,39121,ACS 2020 5-year B19013,available
FL,12077,Liberty County,2021,42438,ACS 2021 5-year B19013,available
FL,12077,Liberty County,2022,51723,ACS 2022 5-year B19013,available
FL,12077,Liberty County,2023,53824,ACS 2023 5-year B19013,available
FL,12077,Liberty County,2024,58671,ACS 2024 5-year B19013,available
FL,12079,Madison County,2015,32164,ACS 2015 5-year B19013,available
FL,12079,Madison County,2016,29806,ACS 2016 5-year B19013,available
FL,12079,Madison County,2017,31816,ACS 2017 5-year B19013,available
FL,12079,Madison County,2018,35509,ACS 2018 5-year B19013,available
FL,12079,Madison County,2019,37037,ACS 2019 5-year B19013,available
FL,12079,Madison County,2020,35240,ACS 2020 5-year B19013,available
FL,12079,Madison County,2021,39503,ACS 2021 5-year B19013,available
FL,12079,Madison County,2022,43386,ACS 2022 5-year B19013,available
FL,12079,Madison County,2023,48176,ACS 2023 5-year B19013,available
FL,12079,Madison County,2024,48485,ACS 2024 5-year B19013,available
FL,12081,Manatee County,2015,49675,ACS 2015 5-year B19013,available
FL,12081,Manatee County,2016,51483,ACS 2016 5-year B19013,available
FL,12081,Manatee County,2017,53408,ACS 2017 5-year B19013,available
FL,12081,Manatee County,2018,56036,ACS 2018 5-year B19013,available
FL,12081,Manatee County,2019,59009,ACS 2019 5-year B19013,available
FL,12081,Manatee County,2020,59963,ACS 2020 5-year B19013,available
FL,12081,Manatee County,2021,64964,ACS 2021 5-year B19013,available
FL,12081,Manatee County,2022,71385,ACS 2022 5-year B19013,available
FL,12081,Manatee County,2023,75792,ACS 2023 5-year B19013,available
FL,12081,Manatee County,2024,78457,ACS 2024 5-year B19013,available
FL,12083,Marion County,2015,39459,ACS 2015 5-year B19013,available
FL,12083,Marion County,2016,40295,ACS 2016 5-year B19013,available
FL,12083,Marion County,2017,41964,ACS 2017 5-year B19013,available
FL,12083,Marion County,2018,43361,ACS 2018 5-year B19013,available
FL,12083,Marion County,2019,45371,ACS 2019 5-year B19013,available
FL,12083,Marion County,2020,46587,ACS 2020 5-year B19013,available
FL,12083,Marion County,2021,50808,ACS 2021 5-year B19013,available
FL,12083,Marion County,2022,55265,ACS 2022 5-year B19013,available
FL,12083,Marion County,2023,58535,ACS 2023 5-year B19013,available
FL,12083,Marion County,2024,61010,ACS 2024 5-year B19013,available
